rhyolitic bomb ash tuff
rhyolitic block ash tuff
rhyolitic ash lapilli tuff
rhyolitic bomb lapilli tuff
rhyolitic block lapilli tuff
rhyolitic lapilli bomb tuff
rhyolitic ash bomb tuff
rhyolitic lapilli block tuff
rhyolitic ash block tuff
rhyolitic lapilli tuff breccia
rhyolitic ash tuff breccia
rhyolitic ignimbrite unwelded consolidated
dacitic crystal ash tuff
dacitic lapilli ash tuff
dacitic bomb ash tuff
dacitic block ash tuff
dacitic ash lapilli tuff
dacitic bomb lapilli tuff
dacitic block lapilli tuff
dacitic lapilli bomb tuff
dacitic ash bomb tuff
dacitic lapilli block tuff
dacitic ash block tuff
dacitic lapilli tuff breccia
dacitic ash tuff breccia
dacitic ignimbrite unwelded consolidated
dacitic surge deposit consolidated
trachytic crystal ash tuff
trachytic lapilli ash tuff
trachytic bomb ash tuff
trachytic block ash tuff
trachytic ash lapilli tuff
trachytic bomb lapilli tuff
trachytic block lapilli tuff
trachytic lapilli bomb tuff
trachytic ash bomb tuff
trachytic lapilli block tuff
trachytic ash block tuff
trachytic lapilli tuff breccia
trachytic ash tuff breccia
trachytic ignimbrite unwelded consolidated
trachytic surge deposit consolidated
latitic crystal ash tuff
latitic lapilli ash tuff
latitic bomb ash tuff
latitic block ash tuff
latitic ash lapilli tuff
latitic bomb lapilli tuff
latitic block lapilli tuff
latitic lapilli bomb tuff
latitic ash bomb tuff
latitic lapilli block tuff
latitic ash block tuff
latitic lapilli tuff breccia
latitic ash tuff breccia
latitic ignimbrite unwelded consolidated
latitic surge deposit consolidated
andesitic crystal ash tuff
andesitic lapilli ash tuff
andesitic bomb ash tuff
andesitic block ash tuff
andesitic ash lapilli tuff
andesitic bomb lapilli tuff
andesitic block lapilli tuff
andesitic lapilli bomb tuff
andesitic ash bomb tuff
andesitic lapilli block tuff
andesitic ash block tuff
andesitic lapilli tuff breccia
andesitic ash tuff breccia
andesitic ignimbrite unwelded consolidated
andesitic surge deposit consolidated
basaltic crystal ash tuff
basaltic lapilli ash tuff
basaltic bomb ash tuff
basaltic block ash tuff
basaltic crystal lapilli tuff
basaltic ash lapilli tuff
basaltic bomb lapilli tuff
basaltic block lapilli tuff
basaltic lapilli bomb tuff
basaltic ash bomb tuff
basaltic lapilli block tuff
basaltic ash block tuff
basaltic lapilli tuff breccia
basaltic ash tuff breccia
basaltic surge deposit consolidated
phonolitic crystal ash tuff
phonolitic lapilli ash tuff
phonolitic bomb ash tuff
phonolitic block ash tuff
phonlitic ash lapilli tuff
phonolitic bomb lapilli tuff
phonolitic block lapilli tuff
phonolitic lapilli block tuff
phonolitic ash block tuff
phonolitic lapilli tuff breccia
phonolitic ash tuff breccia
phonolitic ignimbrite unwelded consolidated
phonolitic surge deposit consolidated
basanitic crystall ash tuff
basanitic lapilli ash tuff
basanitic bomb ash tuff
basanitic block ash tuff
basanitic ash lapilli tuff
basanitic bomb lapilli tuff
basanitic block lapilli tuff
basanitic lapilli bomb tuff
basanitic ash bomb tuff
basanitic lapilli block tuff
basanitic ash block tuff
basanitic lapilli tuff breccia
basanitic ash tuff breccia
basanitic ignimbrite unwelded consolidated
basanitic surhe deposit consolidated
volcanic and volcaniclastic structureless
pegmatite of nephelinitic composition
quartz rich gangue mineralization
milky quartz mineral aggregate
capped quartz mineral aggregate
pseudomorphosic quartz mineral aggregate
carbonate rich gangue mineralization
feldspar rich gangue mineralization
baryte rich gangue mineralization
sulfide rich gangue mineralization
garnet turmaline meta aplite
alkali basaltic meta volcaniclastic
alkali basaltic meta pyroclastic
autoclastic hydroclastic meta volcaniclastic
biotite plagioclase mica schist
muscovite chlorite mica schist
epidote hornblende plagioclase gneiss
garnet cordierit sillimanite gneiss
garnet disthene sillimanite gneiss
garnet disthene staurolite gneiss
muscovite biotite garnet gneiss
quartz biotite plagioclase gneiss
staurolite garnet plagioclase gneiss
acidic to intermediate hornfels
biotite hornblende plagioclase hornfels
medium to coarse pebble
carbonate bearing fine sandstone
carbonate bearing medium sandstone
carbonate bearing coarse sandstone
dolomite bearing fine sandstone
dolomite bearing medium sandstone
dolomite bearing coarse sandstone
fine grained dolomitic arenite
medium grained dolomitic arenite
coarse grained dolomitic arenite
fine grained calcitic arenite
medium grained calcitic arenite
coarse grained calcitic arenite
carbonate rock of folk
ooid bearing micrite limestone
fossile bearing micrite limestone
peloid bearing micrite limestone
ooid bearing sparite limestone
fossile bearing sparite limestone
peloid bearing sparite limestone
chemicalbiogene non carbonate sedimentary
lydite alaun silica schist
carbonatic radiolarite silica carbonate
ortho lignite brown lignite
meta lignite black lignite
non ferrous metal ore
fine grained ash layering
coarse grained ash layering
carbonate bearing clay sediment
carbonate bearing silty clay
carbonate bearing muddy clay
carbonate gravel bearing clay
carbonate bearing gravely clay
carbonate pebble bearing clay
carbonate bearing pebbly clay
carbonate grus bearing clay
carbonate bearing grus clay
carbonate debris bearing clay
carbonate bearing detrital clay
carbonate bearing mud sediment
carbonate bearing clayey mud
carbonate bearing sandy mud
carbonate gravel bearing mud
carbonate bearing gravelly mud
